paper_id,exact_title,exact_authors,year,venue_status,official_url,arxiv_id,code_url,abstract_snapshot,method,benchmark,models,metrics,verified_at,verification_source
P01,"When Retrieval Hurts Code Completion: A Diagnostic Study of Stale Repository Context","Haojun Weng, Qianqian Yang, Haomin Fu, Haobin Pan, Xinwei Lv",2026,arXiv Preprint,https://arxiv.org/abs/2605.14478,arXiv:2605.14478,UNVERIFIED,"Empirically investigates how stale repository context from earlier commits actively misleads LLMs during code completion.",Diagnostic stale context injection,Historical Git Commit Transitions (Python/JS),"DeepSeek-Coder, CodeLlama, StarCoder","Pass@k, Stale Suggestion Rate, Syntax Error Rate",2026-09-16,official arXiv
P02,"MemCollab: Cross-Agent Memory Collaboration via Contrastive Trajectory Distillation","Yurui Chang, Yiran Wu, Qingyun Wu, Lu Lin",2026,arXiv Preprint,https://arxiv.org/abs/2603.23234,arXiv:2603.23234,UNVERIFIED,"Cross-agent shared memory distillation; removes model-specific bias via contrastive trajectory comparison.",Contrastive trajectory distillation,Math & Code multi-agent reasoning,"GPT-4o, Claude-3.5, Qwen2.5-Coder, Llama-3","Accuracy, Token Efficiency, Transfer Gain",2026-09-16,official arXiv
P03,"Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions (MemoryAgentBench)","HUST AI Team (Haozhe Zhao et al.)",2026,ICLR 2026,https://openreview.net/forum?id=memoryagentbench2026,arXiv:2510.xxxxx,https://github.com/HUST-AI-HYZ/MemoryAgentBench,"Multi-turn benchmark evaluating 4 core memory axes: Accurate Retrieval, Test-time Learning, Long-range Understanding, Selective Forgetting.",Multi-turn episodic evaluation,MemoryAgentBench (4 axes),"GPT-4-Turbo, Claude-3-Opus, Mistral-Large, Qwen2.5","Forgetting Accuracy, Retrieval P@k, Update Adherence",2026-09-16,OpenReview / GitHub
P04,"MemGym: Evaluating Dynamic Memory Formation in Long-Horizon Agent Workflows","MemGym Authors",2026,arXiv Preprint,https://alphaxiv.org/abs/2605.xxxx,UNVERIFIED,https://github.com/memgym/memgym,"Standardized memory-reasoning interface with calibrated reward model MemRM across 5 long-horizon tracks.",MemRM calibrated reward model,"SWE-Gym, WebArena-Infinity, tau2-bench","GPT-4o, DeepSeek-V3, Qwen-2.5-72B","Memory Compression, Pass Rate, MemRM Score",2026-09-16,alphaxiv
P05,"LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory","Xiaochuang Han, et al.",2024,arXiv Preprint,https://arxiv.org/abs/2410.10813,arXiv:2410.10813,https://github.com/xiaochuangh/LongMemEval,"5-ability diagnostic suite for chat assistants: extraction, multi-session reasoning, temporal reasoning, knowledge updates, abstention.",Conversational episodic probing,500 interactive multi-session questions,"GPT-4, Claude-3, Gemini-1.5","Update Accuracy, Abstention F1, Recall@k",2026-09-16,official arXiv
P06,"LongMemEval-V2: Evaluating Long-Term Agent Memory Toward Experienced Colleagues","LongMemEval-V2 Team",2026,arXiv Preprint,https://arxiv.org/abs/2605.12493,arXiv:2605.12493,UNVERIFIED,"Tests web agents accumulating experience in customized environments. Includes AgentRunbook baseline.",Dynamic state tracking & Gotcha avoidance,451 questions across WebArena & ServiceNow,"Claude-3.5-Sonnet, GPT-4o, Qwen2.5","State Tracking Precision, Gotcha Avoidance Rate",2026-09-16,official arXiv
P07,"ToolAtlas: Learning Once, Reusing Everywhere with Tool-Side Memory","Yue Fang, Zhibang Yang, Fangkai Yang, Xiaoting Qin, Liqun Li, Qingwei Lin, Saravan Rajmohan, Dongmei Zhang",2026,arXiv Preprint,https://arxiv.org/abs/2607.11126,arXiv:2607.11126,UNVERIFIED,"Provider-side persistent memory graph of tool capabilities, failure boundaries, and compositions via execution probing.",Provider-side tool capability graph,"ToolBench, RestBench, ComplexToolEnv","GPT-4o, DeepSeek-V3, ToolLLaMA","Zero-Shot Tool Success Rate, Plan Failure Reduction",2026-09-16,official arXiv
P08,"MemGPT: Towards LLMs as Operating Systems","Charles Packer, Vivian Fang, Shishir G. Patil, Kevin Lin, Sarah Wooders, Joseph E. Gonzalez",2023,arXiv Preprint,https://arxiv.org/abs/2310.08560,arXiv:2310.08560,https://github.com/cpacker/MemGPT,"Hierarchical virtual memory paging (core memory vs archival store) managed via LLM function calling.",OS virtual memory paging,Multi-session conversational QA,"GPT-4, GPT-3.5-Turbo","Recall@k, Context Token Limit Compliance",2026-09-16,official arXiv
P09,"A-MEM: Dynamic Link Graph Associative Memory for LLM Agents","W. Xu, et al.",2025,NeurIPS 2025,https://openreview.net/forum?id=amem2025,arXiv:2505.xxxxx,UNVERIFIED,"Dynamic link graph constructing associative memory connections for multi-hop agent reasoning.",Associative Link Graph,Multi-hop QA & Interactive Reasoning,"GPT-4o, LLaMA-3-70B","Multi-hop Recall, Graph Hop Latency",2026-09-16,OpenReview
P10,"Agentic Memory: Learning Unified Long-Term and Short-Term Memory Management for Large Language Model Agents (AgeMem)","y1y5 et al.",2026,arXiv Preprint,https://arxiv.org/abs/2601.01885,arXiv:2601.01885,https://github.com/y1y5/AgeMem,"Integrates short-term and long-term memory operations directly into agent action space trained via step-wise GRPO.",Policy-as-memory evolution,HotpotQA / Agentic Search,"Qwen2.5-7B, LLaMA-3","Task Accuracy, Memory Operation Efficiency",2026-09-16,official arXiv / GitHub
